Model,Accuracy,CV Mean,CV Std,Precision,Recall,F1-Score
BAGGING,0.5545,0.5480,0.0558,0.5577,0.5273,0.5421
BOOSTING,0.5000,0.4999,0.0613,0.5000,0.4364,0.4660
STACKING,0.5182,0.5551,0.0641,0.5227,0.4182,0.4646
